name,address,type_of_place,rating,reviews,contact,url
Warehousity,"Plot 10, LSC, 2, Sector 6 Dwarka, Dwarka, New Delhi, Delhi 110075",warehouses in india,4.6,(122),076771 80180,"https://www.google.com/maps/place/Warehousity/@28.5467672,76.7234968,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390ce2b0ffdbcbb9:0x6375ef45a50e69be!8m2!3d28.5897531!4d77.0633212!15sChN3YXJlaG91c2VzIGluIGluZGlhWhUiE3dhcmVob3VzZXMgaW4gaW5kaWGSAQl3YXJlaG91c2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlBOR05wVjB0M0VBReABAA!16s%2Fg%2F11jlw58d5b?entry=ttu"
SS Marketing Services - Abbott India Jammu C&F,"Kartar Building, 33, Narwal, Transportnagar, Jammu, Jammu and Kashmir 180004",warehouses in india,4.0,(1),N/A,"https://www.google.com/maps/place/SS+Marketing+Services+-+Abbott+India+Jammu+C%26F/@32.7123242,74.581253,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e83eaa824b115:0x745f227b71712edf!8m2!3d32.7123242!4d74.8861236!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11qrtd600d?entry=ttu"
Nahar Logistics Warehouse,"FJ4W+5R9, Srinagar - Kanyakumari Hwy, Punjab 140417",warehouses in india,3.2,(5),98728009,"https://www.google.com/maps/place/Nahar+Logistics+Warehouse/@32.7123242,74.581253,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390fc4c9880e0af5:0x98b6c2c815bed4ac!8m2!3d30.4554035!4d76.6471143!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11g6rhvstp?entry=ttu"
Omaxe Mall,"Mall Rd, opposite Kali Devi Temple, Baradari, Patiala, Punjab 147001",malls in india,4.0,"(14,898)",N/A,"https://www.google.com/maps/place/Omaxe+Mall/@30.337374,76.0894874,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x391028ec5f8ab38d:0x16bbb0d7e8409a94!8m2!3d30.337374!4d76.394358!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F1tfpy755?entry=ttu"
Paras Downtown Square Mall,"Paras Down Town Square Mall The Golden Plaza Hotel, Ambala - Chandigarh Expy, Zirakpur, Punjab 140603",malls in india,4.0,"(12,052)",N/A,"https://www.google.com/maps/place/Paras+Downtown+Square+Mall/@30.6599182,76.5169485,11z/data=!3m1!5s0x390feb2c2de75fb1:0xccf686ea3ebc1e46!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390feb4bbdd2cefd:0x6968c20e560eaf7d!8m2!3d30.6599182!4d76.8218191!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fm%2F043m4fq?entry=ttu"
Cosmo,"Cosmo Mall, Ambala - Chandigarh Expy, Zirakpur, Gazipur, Punjab 140603",malls in india,4.1,"(8,269)",N/A,"https://www.google.com/maps/place/Cosmo/@30.6599182,76.5169485,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390feb2bb9d77e73:0x5acf63f316c17225!8m2!3d30.6372992!4d76.8224633!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F1pp2wx_1s?entry=ttu"
Bestech Square Mall,"Focal Point-1 Industrial Area Phase-9, Mohali Railway Station Rd, Sector 66, Sahibzada Ajit Singh Nagar, Punjab 160062",malls in india,4.3,"(7,789)",N/A,"https://www.google.com/maps/place/Bestech+Square+Mall/@30.6599182,76.5169485,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fed6425414337:0x813e3e39650c2f23!8m2!3d30.6735755!4d76.7402701!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11j4ln35mm?entry=ttu"
Factory Outlet Store,"JRPF+X2G, Ambala - Chandigarh Expy, Zirakpur, Gazipur, Punjab 140603",malls in india,4.1,"(5,622)",N/A,"https://www.google.com/maps/place/Factory+Outlet+Store/@30.6599182,76.5169485,11z/data=!3m1!5s0x390f94d02e19804f:0xc3cf3e283d046cf8!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390feb2ba870ec6b:0x15e1beef828a7987!8m2!3d30.6374387!4d76.8225629!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11d_7_qf03?entry=ttu"
Jaggi city center,"Model Town Rd, near petrol pump, Sena Nagar, Dholkot, Crossing, Ambala, Haryana 134003",malls in india,4.4,"(8,209)",N/A,"https://www.google.com/maps/place/Jaggi+city+center/@30.6599182,76.5169485,11z/data=!3m1!5s0x390f94d02e19804f:0xc3cf3e283d046cf8!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fc84909308685:0x309799843953bb5f!8m2!3d30.3681917!4d76.7992759!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11dzdchl28?entry=ttu"
Jaggi city center,"Model Town Rd, near petrol pump, Sena Nagar, Dholkot, Crossing, Ambala, Haryana 134003",malls in india,4.1,"(7,686)",080544 00444,"https://www.google.com/maps/place/Jaggi+city+center/@30.3681917,76.4944053,11z/data=!3m1!5s0x390fc84904f4281d:0xc789242ac3b5fc42!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fc84909308685:0x309799843953bb5f!8m2!3d30.3681917!4d76.7992759!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11dzdchl28?entry=ttu"
